何事[なにごと;h]も
なぐる[,なぐる;k2]
是非[ぜひ;a]
旨[むね;o]
お姉[ねえ]ちゃん
フィルム[;a]
炉[ろ;h]
考慮[こうりょ;a]
吉原[よしわら;n2]
ゴルフ[;a]
祝福[しゅくふく;h]
葬[ほうむ,ほうむる;k3]る
蘇[よみがえ,よみがえる;k3,h]る
後ろ姿[うしろすがた;n4]
暗殺[あんさつ;h]
現状[げんじょう;h]
しだい[;h]
浮[うか,うかべる;h]べる
宿屋[やどや;h]
心地[ここち;h]
警察官[けいさつかん;n4,n3]
無事[ぶじ;h]に
うなだれる[,うなだれる;h,k4]
断定[だんてい;h]
申し出[もうしで,もうしでる;k4,h]る
広[ひろ]
お辞儀[おじぎ;h]
白井[しらい;h]
まみれる[,まみれる;k3]
高田[たかた;h]
湯気[ゆげ;a]
陳[ひね;a]
役所[やくしょ;o]
入江[いりえ;h]
ファ[;o]
印刷[いんさつ;h]
家中[かちゅう;a]
処女[しょじょ;a]
唖然[あぜん;h]
葬儀[そうぎ;a]
ぶつぶつ[;a]
戦死[せんし;h]
才[さい;a]
気絶[きぜつ;h]
凝[こ,こらす;k2]らす
純[じゅん;a]
いじる[,いじる;k2]
侮辱[ぶじょく;h]
枯[か,かれる;h]れる
こす[,こす;h,k1]
放置[ほうち;h,a]
垣[かき;o]
生産[せいさん;h]
便所[べんじょ;o]
俵[たわら;o]
提督[ていとく;h]
懐中電灯[かいちゅうでんとう;n5]
単位[たんい;a]
呆然[ぼうぜん;h]と
姫君[ひめぎみ;n2]
白人[はくじん;h]
頭痛[ずつう;h]
振り回[ふりまわ,ふりまわす;k4,k3]す
屍[しかばね;h]
動き出[うごきだ,うごきだす;k4,h]す
以内[いない;a]
引用[いんよう;h]
ネット[;a]
見捨[みす,みすてる;h,k3]てる
古[ふる,ふるく;k1]く
金持[かねも;n3,o]ち
スタート[;n2,h]
銀河[ぎんが;a]
ライオン[;h]
中国人[ちゅうごくじん;n4]
にらみつける[,にらみつける;k5]
バイク[;a]
